Frame,RX,RY,RZ,TX,TY,TZ
357,0.870566,0.021726,0.035693,23.82719,122.328827,274.010315
358,0.870653,0.022386,0.035878,23.831858,122.295471,274.006165
359,0.870713,0.020985,0.034623,23.780128,122.283142,274.013153
360,0.871105,0.022309,0.035337,23.78229,122.223564,273.967468
361,0.871046,0.021473,0.034633,23.76025,122.252304,273.930054
362,0.870832,0.022901,0.035624,23.774426,122.302628,273.924896
363,0.870895,0.021297,0.034822,23.736008,122.27977,273.876556
364,0.870849,0.021474,0.035348,23.790941,122.288017,273.928741
365,0.871021,0.02214,0.035283,23.76157,122.30574,273.906372
366,0.87092,0.023123,0.03592,23.777193,122.349274,273.912964
367,0.870014,0.022201,0.03561,23.784193,122.274651,273.978455
368,0.871154,0.020703,0.034592,23.78442,122.282738,273.925171
369,0.87048,0.021964,0.035544,23.818457,122.277298,273.997528
370,0.870619,0.021257,0.034997,23.764605,122.296547,274.010712
371,0.870354,0.02259,0.036303,23.837603,122.295746,274.018433
372,0.870878,0.021927,0.035666,23.809734,122.331375,273.971924
373,0.870078,0.022216,0.035683,23.811441,122.278915,274.037811
374,0.870853,0.021571,0.034956,23.789276,122.248726,273.950806
375,0.870936,0.020926,0.03492,23.7607,122.266853,273.9328
376,0.870491,0.02136,0.034581,23.715139,122.26944,273.994568
377,0.87099,0.021658,0.03492,23.753767,122.25779,273.902863
378,0.870546,0.021784,0.035534,23.80228,122.256653,273.942993
379,0.870274,0.021447,0.035685,23.835661,122.266502,273.949219
380,0.870248,0.021509,0.035165,23.771858,122.290726,273.972687
381,0.870783,0.021584,0.035437,23.792595,122.265038,273.923828
382,0.870728,0.021493,0.035095,23.758825,122.267433,273.98642
383,0.870816,0.021348,0.034891,23.768547,122.312065,273.957092
384,0.869935,0.022314,0.035965,23.814707,122.289146,274.048676
385,0.870943,0.022382,0.035991,23.825138,122.310913,274.000519
386,0.870242,0.021361,0.03513,23.790197,122.275536,274.027313
387,0.87058,0.022018,0.035609,23.80187,122.272339,273.985748
388,0.87039,0.022452,0.035725,23.775291,122.30658,274.015961
389,0.870864,0.021792,0.035194,23.795401,122.226494,273.984589
390,0.870501,0.02229,0.035329,23.758492,122.209023,273.952393
391,0.870058,0.021296,0.035391,23.80031,122.24482,273.966614
392,0.871085,0.021221,0.034795,23.752008,122.234726,273.903534
393,0.870615,0.022883,0.036011,23.78648,122.271019,273.943909
394,0.870497,0.0214,0.035273,23.776808,122.240654,273.958679
395,0.870508,0.021598,0.035328,23.768236,122.320763,273.953339
396,0.870679,0.021932,0.035364,23.803408,122.262123,273.958313
397,0.870907,0.021334,0.034577,23.757128,122.264511,273.991516
398,0.870344,0.02182,0.035439,23.81546,122.302246,274.028442
399,0.870609,0.021294,0.035273,23.831087,122.278221,273.997528
400,0.870469,0.023329,0.036506,23.826107,122.256454,273.983551
401,0.870396,0.021509,0.035037,23.792944,122.227386,274.001953
402,0.870645,0.021333,0.035029,23.79685,122.287857,273.980957
403,0.87068,0.021206,0.035069,23.782537,122.306641,273.967865
404,0.870504,0.022524,0.03597,23.799242,122.297569,273.946411
405,0.870714,0.021371,0.034694,23.763485,122.307549,273.939484
406,0.870535,0.021487,0.035457,23.791336,122.347351,273.929932
407,0.870291,0.022786,0.03639,23.829628,122.243011,273.949677
408,0.870636,0.021746,0.035039,23.77298,122.310646,273.938416
409,0.87093,0.02178,0.035273,23.762211,122.307838,273.93634
410,0.870907,0.022012,0.035583,23.813898,122.261902,273.966827
411,0.870799,0.021418,0.035214,23.791826,122.237823,273.968903
412,0.870536,0.022096,0.035776,23.828959,122.301918,273.98288
413,0.871195,0.021844,0.035685,23.817869,122.292778,273.944214
414,0.870991,0.021778,0.035075,23.776062,122.242943,273.968842
415,0.870451,0.022701,0.036216,23.837168,122.267632,273.985535
416,0.870319,0.020572,0.034326,23.7679,122.278,273.995148
417,0.870735,0.022095,0.035845,23.813471,122.30722,273.955383
418,0.871033,0.022424,0.036215,23.823858,122.252213,273.907104
419,0.870991,0.021683,0.035164,23.772539,122.314339,273.909607
420,0.870737,0.022203,0.035965,23.815128,122.2714,273.904816
421,0.870649,0.021724,0.035711,23.818653,122.295883,273.939178
422,0.870875,0.021626,0.035561,23.811962,122.278275,273.91153
423,0.870647,0.022109,0.035765,23.817085,122.326942,273.960754
424,0.870591,0.021528,0.035425,23.814939,122.230782,273.98407
425,0.870427,0.021556,0.034906,23.751776,122.273445,273.99173
426,0.87024,0.022502,0.036171,23.838293,122.303459,274.024139
427,0.870657,0.021508,0.03481,23.750248,122.274574,273.987457
428,0.870895,0.022359,0.035794,23.805922,122.307335,273.983429
429,0.871098,0.021471,0.035122,23.756603,122.298233,273.952545
430,0.870629,0.021916,0.035831,23.811499,122.296097,273.992828
431,0.870595,0.022719,0.036195,23.822779,122.307106,273.964813
